template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,cash_cash_equivalents_short_term_investments,cash_cash_equivalents,short_term_investments,accounts_notes_receivable,accounts_receivable_net,notes_receivable_net,unbilled_revenues,inventories,raw_materials,work_in_process,finished_goods,other_inventory,other_short_term_assets,prepaid_expenses,derivative_hedging_assets_short_term,assets_held_for_sale,deferred_tax_assets_short_term,income_taxes_receivable,discontinued_operations_short_term,miscellaneous_short_term_assets,total_current_assets,property_plant_equipment_net,property_plant_equipment,accumulated_depreciation,long_term_investments_receivables,long_term_investments,long_term_marketable_securities,long_term_receivables,other_long_term_assets,intangible_assets,goodwill,other_intangible_assets,prepaid_expense,deferred_tax_assets_long_term,derivative_hedging_assets_long_term,prepaid_pension_costs,discontinued_operations_long_term,investments_in_affiliates,miscellaneous_long_term_assets,total_noncurrent_assets,total_assets,payables_accruals,accounts_payable,accrued_taxes,interest_dividends_payable,other_payables_accruals,short_term_debt,short_term_borrowings,short_term_capital_leases,current_portion_of_long_term_debt,other_short_term_liabilities,deferred_revenue_short_term,liabilities_from_derivatives_hedging_short_term,deferred_tax_liabilities_short_term,liabilities_from_discontinued_operations_short_term,miscellaneous_short_term_liabilities,total_current_liabilities,long_term_debt,long_term_borrowings,long_term_capital_leases,other_long_term_liabilities,accrued_liabilities,pension_liabilities,pensions,other_post_retirement_benefits,deferred_compensation,deferred_revenue_long_term,deferred_tax_liabilities_long_term,liabilities_from_derivatives_hedging_long_term,liabilities_from_discontinued_operations_long_term,miscellaneous_long_term_liabilities,total_noncurrent_liabilities,total_liabilities,preferred_equity,share_capital_additional_paid_in_capital,common_stock,additional_paid_in_capital,other_share_capital,treasury_stock,retained_earnings,other_equity,equity_before_minority_interest,minority_interest,total_equity,total_liabilities_equity
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2023,2023-03-31,2023-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/0000950170-23-014423-index.htm,FALSE,TRUE,0,104427000000,26562000000,77865000000,37420000000,37420000000,NA,NA,2877000000,NA,NA,NA,NA,19165000000,NA,NA,NA,NA,NA,NA,19165000000,163889000000,88132000000,NA,NA,9415000000,NA,NA,NA,118652000000,9879000000,67940000000,NA,NA,NA,NA,NA,NA,NA,40833000000,216199000000,380088000000,29879000000,15305000000,NA,NA,14574000000,6245000000,NA,NA,NA,49567000000,36903000000,NA,NA,NA,12664000000,85691000000,41965000000,NA,NA,57749000000,NA,NA,NA,NA,NA,2698000000,302000000,NA,NA,54749000000,99714000000,185405000000,NA,92093000000,NA,NA,NA,NA,108234000000,-5644000000,194683000000,NA,194683000000,380088000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2023,2022-12-31,2023-01-24,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/0001564590-23-000733-index.htm,FALSE,TRUE,0,99508000000,15646000000,83862000000,35833000000,NA,NA,NA,2980000000,NA,NA,NA,NA,19502000000,NA,NA,NA,NA,NA,NA,19502000000,157823000000,82755000000,NA,NA,7097000000,NA,NA,NA,116877000000,10354000000,67905000000,NA,NA,NA,NA,NA,NA,NA,38618000000,206729000000,364552000000,15354000000,NA,NA,NA,NA,3997000000,NA,NA,3997000000,62367000000,36982000000,NA,3553000000,NA,21832000000,81718000000,44119000000,NA,NA,55579000000,NA,NA,NA,NA,NA,2644000000,289000000,NA,NA,52646000000,99698000000,181416000000,NA,90225000000,90225000000,NA,NA,NA,99368000000,-6457000000,183136000000,NA,183136000000,364552000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2023,2022-09-30,2022-10-25,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/0001564590-22-035087-index.htm,FALSE,TRUE,0,107262000000,22884000000,84378000000,31279000000,31279000000,NA,NA,4268000000,NA,NA,NA,NA,18003000000,NA,NA,NA,NA,NA,NA,18003000000,160812000000,77037000000,NA,NA,6839000000,NA,NA,NA,115096000000,10808000000,67459000000,NA,NA,NA,NA,NA,NA,NA,36829000000,198972000000,359784000000,30743000000,16609000000,NA,NA,14134000000,3248000000,NA,NA,NA,53398000000,41340000000,NA,NA,NA,12058000000,87389000000,45374000000,NA,NA,53455000000,NA,NA,NA,NA,NA,2549000000,223000000,NA,NA,50683000000,98829000000,186218000000,NA,88535000000,NA,NA,NA,NA,92374000000,-7343000000,173566000000,NA,173566000000,359784000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2022,2022-06-30,2022-07-28,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017023035122/0000950170-23-035122-index.htm,FALSE,TRUE,0,104757000000,13931000000,90826000000,44261000000,44261000000,NA,NA,3742000000,NA,NA,NA,NA,16924000000,NA,NA,NA,NA,NA,NA,16924000000,169684000000,74398000000,NA,NA,6891000000,NA,NA,NA,113867000000,11298000000,67524000000,NA,NA,NA,NA,NA,NA,NA,35045000000,195156000000,364840000000,33728000000,19000000000,NA,NA,14728000000,2749000000,NA,NA,NA,58605000000,45538000000,NA,NA,NA,13067000000,95082000000,47032000000,NA,NA,56184000000,NA,NA,NA,NA,NA,2870000000,230000000,NA,NA,53084000000,103216000000,198298000000,NA,86939000000,NA,NA,NA,NA,84281000000,-4678000000,166542000000,NA,166542000000,364840000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2022,2022-03-31,2022-04-26,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/0001564590-22-015675-index.htm,FALSE,TRUE,0,104693000000,12498000000,92195000000,32613000000,32613000000,NA,NA,3296000000,NA,NA,NA,NA,13320000000,NA,NA,NA,NA,NA,NA,13320000000,153922000000,70298000000,NA,NA,6907000000,NA,NA,NA,113480000000,11348000000,67371000000,NA,NA,NA,NA,NA,NA,NA,34761000000,190685000000,344607000000,29798000000,16085000000,4646000000,NA,9067000000,1749000000,NA,NA,1749000000,45892000000,34027000000,NA,NA,NA,11865000000,77439000000,48177000000,NA,NA,56067000000,NA,NA,NA,NA,NA,2769000000,304000000,NA,NA,52994000000,104244000000,181683000000,NA,85767000000,NA,85767000000,NA,NA,77157000000,NA,162924000000,NA,162924000000,344607000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2022,2021-12-31,2022-01-25,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022002324/0001564590-22-002324-index.htm,FALSE,TRUE,0,125369000000,20604000000,104765000000,33520000000,33520000000,NA,NA,3019000000,NA,NA,NA,NA,12280000000,NA,NA,NA,NA,NA,NA,12280000000,174188000000,67214000000,NA,NA,6994000000,NA,NA,NA,91993000000,7462000000,50921000000,NA,NA,NA,NA,NA,NA,NA,33610000000,166201000000,340389000000,26827000000,15314000000,3731000000,NA,7782000000,4998000000,NA,NA,4998000000,45685000000,34001000000,NA,NA,NA,11684000000,77510000000,48260000000,NA,NA,54609000000,NA,NA,NA,NA,NA,2768000000,199000000,NA,NA,51642000000,102869000000,180379000000,NA,84528000000,NA,84528000000,NA,NA,75482000000,NA,160010000000,NA,160010000000,340389000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2022,2021-09-30,2021-10-26,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459021051992/0001564590-21-051992-index.htm,FALSE,TRUE,0,130615000000,19165000000,111450000000,27349000000,27349000000,NA,NA,3411000000,NA,NA,NA,NA,12951000000,NA,NA,NA,NA,NA,NA,12951000000,174326000000,63772000000,NA,NA,6393000000,NA,NA,NA,90927000000,7794000000,50455000000,NA,NA,NA,NA,NA,NA,NA,32678000000,161092000000,335418000000,27998000000,14832000000,6272000000,NA,6894000000,3249000000,NA,NA,3249000000,49281000000,38465000000,NA,NA,NA,10816000000,80528000000,50039000000,NA,NA,52873000000,NA,NA,NA,NA,NA,2550000000,212000000,NA,NA,50111000000,102912000000,183440000000,NA,83751000000,NA,83751000000,NA,NA,68227000000,NA,151978000000,NA,151978000000,335418000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2021,2021-06-30,2021-07-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,FALSE,TRUE,0,130334000000,14224000000,116110000000,38043000000,38043000000,NA,NA,2636000000,NA,NA,NA,NA,13393000000,NA,NA,NA,NA,NA,NA,13393000000,184406000000,59715000000,NA,NA,5984000000,NA,NA,NA,83674000000,7800000000,49711000000,NA,NA,NA,NA,NA,NA,NA,26163000000,149373000000,333779000000,27394000000,15163000000,2174000000,NA,10057000000,8072000000,NA,NA,8072000000,53191000000,41525000000,NA,NA,NA,11666000000,88657000000,50074000000,NA,NA,53060000000,NA,NA,NA,NA,NA,2616000000,198000000,NA,NA,50246000000,103134000000,191791000000,NA,83111000000,NA,83111000000,NA,NA,58877000000,NA,141988000000,NA,141988000000,333779000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2021,2021-03-31,2021-04-27,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459021020891/0001564590-21-020891-index.htm,FALSE,TRUE,0,125407000000,13702000000,111705000000,26322000000,26322000000,NA,NA,2245000000,NA,NA,NA,NA,11640000000,NA,NA,NA,NA,NA,NA,11640000000,165614000000,54945000000,NA,NA,5395000000,NA,NA,NA,82925000000,8127000000,49698000000,NA,NA,NA,NA,NA,NA,NA,25100000000,143265000000,308879000000,21444000000,13412000000,NA,NA,8032000000,10216000000,2165000000,NA,8051000000,40533000000,30083000000,NA,NA,NA,10450000000,72193000000,50007000000,NA,NA,52174000000,NA,NA,NA,NA,NA,2631000000,173000000,NA,NA,49370000000,102181000000,174374000000,NA,82308000000,NA,82308000000,NA,NA,52197000000,NA,134505000000,NA,134505000000,308879000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2021,2020-12-31,2021-01-26,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459021002316/0001564590-21-002316-index.htm,FALSE,TRUE,0,131968000000,14432000000,117536000000,27312000000,27312000000,NA,NA,1924000000,NA,NA,NA,NA,12769000000,NA,NA,NA,NA,NA,NA,12769000000,173973000000,51737000000,NA,NA,3794000000,NA,NA,NA,74633000000,6555000000,44219000000,NA,NA,NA,NA,NA,NA,NA,23859000000,130164000000,304137000000,19608000000,12770000000,NA,NA,6838000000,6949000000,1562000000,NA,5387000000,40929000000,30402000000,NA,NA,NA,10527000000,67486000000,55136000000,NA,NA,51279000000,NA,NA,NA,NA,NA,2985000000,174000000,NA,NA,48120000000,106415000000,173901000000,NA,81896000000,NA,81896000000,NA,NA,48340000000,NA,130236000000,NA,130236000000,304137000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2021,2020-09-30,2020-10-27,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459020047996/0001564590-20-047996-index.htm,FALSE,TRUE,0,137977000000,17205000000,120772000000,22851000000,22851000000,NA,NA,2705000000,NA,NA,NA,NA,13544000000,NA,NA,NA,NA,NA,NA,13544000000,177077000000,47927000000,NA,NA,3103000000,NA,NA,NA,72894000000,6923000000,43890000000,NA,NA,NA,NA,NA,NA,NA,22081000000,123924000000,301001000000,18223000000,12509000000,NA,NA,5714000000,6497000000,NA,NA,6497000000,45336000000,33476000000,NA,2384000000,NA,9476000000,70056000000,57055000000,NA,NA,50498000000,NA,NA,NA,NA,NA,2829000000,187000000,NA,NA,47482000000,107553000000,177609000000,NA,81089000000,NA,81089000000,NA,NA,42303000000,NA,123392000000,NA,123392000000,301001000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2020,2020-06-30,2020-07-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459021039151/0001564590-21-039151-index.htm,FALSE,TRUE,0,136527000000,13576000000,122951000000,32011000000,32011000000,NA,NA,1895000000,NA,NA,NA,NA,11482000000,NA,NA,NA,NA,NA,NA,11482000000,181915000000,44151000000,NA,NA,2965000000,NA,NA,NA,72280000000,7038000000,43351000000,NA,NA,NA,NA,NA,NA,NA,21891000000,119396000000,301311000000,20404000000,12530000000,NA,NA,7874000000,5879000000,2130000000,NA,3749000000,46027000000,36000000000,NA,NA,NA,10027000000,72310000000,59578000000,NA,NA,51119000000,NA,NA,NA,NA,NA,3180000000,204000000,NA,NA,47735000000,110697000000,183007000000,NA,80552000000,NA,80552000000,NA,NA,37752000000,NA,118304000000,NA,118304000000,301311000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2020,2020-03-31,2020-04-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459020019706/0001564590-20-019706-index.htm,FALSE,TRUE,0,137626000000,11710000000,125916000000,22699000000,22699000000,NA,NA,1644000000,NA,NA,NA,NA,8536000000,NA,NA,NA,NA,NA,NA,8536000000,170505000000,41221000000,NA,NA,2660000000,NA,NA,NA,71063000000,6855000000,42064000000,NA,NA,NA,NA,NA,NA,NA,22144000000,114944000000,285449000000,15500000000,9246000000,NA,NA,6254000000,3748000000,NA,NA,3748000000,39459000000,27012000000,NA,3296000000,NA,9151000000,58707000000,62862000000,NA,NA,49379000000,NA,NA,NA,NA,NA,3385000000,185000000,NA,NA,45809000000,112241000000,170948000000,NA,79813000000,NA,79813000000,NA,NA,34688000000,NA,114501000000,NA,114501000000,285449000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2020,2019-12-31,2020-01-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459020002450/0001564590-20-002450-index.htm,FALSE,TRUE,0,134253000000,8864000000,125389000000,23525000000,23525000000,NA,NA,1823000000,NA,NA,NA,NA,7473000000,NA,NA,NA,NA,NA,NA,7473000000,167074000000,40522000000,NA,NA,2755000000,NA,NA,NA,72443000000,7126000000,42248000000,NA,NA,NA,NA,NA,NA,NA,23069000000,115720000000,282794000000,14232000000,8811000000,NA,NA,5421000000,6247000000,NA,NA,6247000000,39161000000,27343000000,NA,2687000000,NA,9131000000,59640000000,63361000000,NA,NA,49684000000,NA,NA,NA,NA,NA,3878000000,222000000,NA,NA,45584000000,113045000000,172685000000,NA,79625000000,NA,79625000000,NA,NA,30484000000,NA,110109000000,NA,110109000000,282794000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2020,2019-09-30,2019-10-23,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459019037549/0001564590-19-037549-index.htm,FALSE,TRUE,0,136636000000,13117000000,123519000000,19087000000,19087000000,NA,NA,2622000000,NA,NA,NA,NA,7551000000,NA,NA,NA,NA,NA,NA,7551000000,165896000000,38409000000,NA,NA,2684000000,NA,NA,NA,71966000000,7508000000,42113000000,NA,NA,NA,NA,NA,NA,NA,22345000000,113059000000,278955000000,13250000000,8574000000,NA,NA,4676000000,3017000000,NA,NA,3017000000,41851000000,29904000000,NA,3440000000,NA,8507000000,58118000000,66478000000,NA,NA,48298000000,NA,NA,NA,NA,NA,4122000000,234000000,NA,NA,43942000000,114776000000,172894000000,NA,78882000000,NA,78882000000,NA,NA,27179000000,NA,106061000000,NA,106061000000,278955000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2019,2019-06-30,2019-08-01,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459020034944/0001564590-20-034944-index.htm,FALSE,TRUE,0,133819000000,11356000000,122463000000,29524000000,29524000000,NA,NA,2063000000,NA,NA,NA,NA,10146000000,NA,NA,NA,NA,NA,NA,10146000000,175552000000,36477000000,NA,NA,2649000000,NA,NA,NA,71878000000,7750000000,42026000000,NA,NA,NA,NA,NA,NA,NA,22102000000,111004000000,286556000000,16212000000,9382000000,NA,NA,6830000000,5516000000,NA,NA,5516000000,47692000000,32676000000,NA,5665000000,NA,9351000000,69420000000,66662000000,NA,NA,48144000000,NA,NA,NA,NA,NA,4530000000,233000000,NA,NA,43381000000,114806000000,184226000000,NA,78520000000,NA,78520000000,NA,NA,23810000000,NA,102330000000,NA,102330000000,286556000000
