template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,ttm,restated,data_model,gross_profit_margin,operating_margin,ebitda,earnings_per_share_basic,earnings_per_share_diluted,sales_per_share,equity_per_share,net_profit_margin,free_cash_flow,free_cash_flow_per_share,free_cash_flow_to_net_income,dividends_per_share,current_ratio,piotroski_f_score,cash_return_on_invested_capital,dividend_payout_ratio,net_debt_ebitda,net_debt_ebit,return_on_invested_capital,liabilities_to_equity_ratio,net_income_adjusted,net_profit_margin_adjusted,return_on_equity_adjusted,return_on_assets_adjusted,free_cash_flow_to_net_income_adjusted,return_on_invested_capital_adjusted,debt_ratio,total_debt,return_on_equity,return_on_assets
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2022,2022-12-31,FALSE,TRUE,0,0.74084,0.19894,8775000000,1.79168,1.78344,12.38544,48.40701,0.14466,3214000000,1.23758,0.69074,NA,2.2034,4,0.02025,NA,-3.51168,-4.8156,0.02932,0.47739,4653000000,0.14466,0.03701,0.02505,0.69074,0.02932,0.05343,9923000000,0.03701,0.02505
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2022,2022-09-30,FALSE,TRUE,0,0.79375,0.20437,7839000000,1.6387,1.63565,10.33333,46.2692,0.15858,233000000,0.08688,0.05301,NA,2.57041,4,0.00149,NA,-4.06353,-5.62394,0.02814,0.4416,4395000000,0.15858,0.03542,0.02457,0.05301,0.02814,0.05546,9922000000,0.03542,0.02457
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2022,2022-06-30,FALSE,TRUE,0,0.81986,0.28999,10337000000,2.473,2.4648,10.65902,46.51146,0.23201,4751000000,1.75703,0.71048,NA,2.52001,5,0.0322,NA,-3.9169,-4.84434,0.04532,0.34995,6687000000,0.23201,0.05317,0.03939,0.71048,0.04532,0,0,0.05317,0.03939
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2022,2022-03-31,FALSE,TRUE,0,0.78483,0.30543,10680000000,2.69982,2.66702,10.09331,44.56709,0.26749,9549000000,3.45353,1.27917,NA,2.81063,4,0.06671,NA,-4.10955,-5.14899,0.05215,0.33264,7465000000,0.26749,0.06058,0.04546,1.27917,0.05215,0,0,0.06058,0.04546
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2021,2021-12-31,FALSE,TRUE,0,0.81147,0.37376,14599000000,3.72645,3.66275,12.19964,45.24601,0.30546,14264000000,5.16812,1.38687,NA,3.15429,5,0.09847,NA,-3.28776,-3.81391,0.071,0.32918,10285000000,0.30546,0.08236,0.06196,1.38687,0.071,0,0,0.08236,0.06196
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2021,2021-09-30,FALSE,TRUE,0,0.80107,0.35929,12418000000,3.26724,3.21581,10.30917,47.39161,0.31693,10858000000,3.85856,1.18099,NA,4.23428,6,0.07154,NA,-4.67668,-5.57181,0.06058,0.27163,9194000000,0.31693,0.06894,0.05421,1.18099,0.06058,0,0,0.06894,0.05421
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q2,2021,2021-06-30,FALSE,TRUE,0,0.81432,0.42532,14353000000,3.66631,3.60028,10.25644,48.75732,0.35746,9970000000,3.51675,0.95921,NA,5.42537,6,0.06402,NA,-4.46457,-5.18153,0.06674,0.23427,10394000000,0.35746,0.0752,0.06092,0.95921,0.06674,0,0,0.0752,0.06092
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q1,2021,2021-03-31,FALSE,TRUE,0,0.80394,0.43476,13350000000,3.33579,3.29528,9.19248,46.94661,0.36288,9675000000,3.39831,1.01874,NA,6.08021,6,0.06416,NA,-4.81041,-5.64414,0.06297,0.22345,9497000000,0.36288,0.07106,0.05808,1.01874,0.06297,0,0,0.07106,0.05808
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q4,2020,2020-12-31,FALSE,TRUE,0,0.81441,0.45508,14638000000,3.93235,3.85003,9.83947,44.9667,0.39965,11349000000,3.97792,1.01159,NA,5.05106,6,0.07863,NA,-4.23241,-4.84963,0.07773,0.24184,11219000000,0.39965,0.08745,0.07042,1.01159,0.07773,0,0,0.08745,0.07042
GENERAL,"Meta Platforms, Inc.",121021,META,USD,US30303M1027,Q3,2020,2020-09-30,FALSE,TRUE,0,0.80466,0.37448,9738000000,2.75298,2.71394,7.53333,41.30912,0.36544,6398000000,2.24491,0.81545,NA,5.50896,5,0.04757,NA,-5.71165,-6.91791,0.05834,0.24383,7846000000,0.36544,0.06664,0.05358,0.81545,0.05834,0,0,0.06664,0.05358
