template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,cash_cash_equivalents_short_term_investments,cash_cash_equivalents,short_term_investments,accounts_notes_receivable,accounts_receivable_net,notes_receivable_net,unbilled_revenues,inventories,raw_materials,work_in_process,finished_goods,other_inventory,other_short_term_assets,prepaid_expenses,derivative_hedging_assets_short_term,assets_held_for_sale,deferred_tax_assets_short_term,income_taxes_receivable,discontinued_operations_short_term,miscellaneous_short_term_assets,total_current_assets,property_plant_equipment_net,property_plant_equipment,accumulated_depreciation,long_term_investments_receivables,long_term_investments,long_term_marketable_securities,long_term_receivables,other_long_term_assets,intangible_assets,goodwill,other_intangible_assets,prepaid_expense,deferred_tax_assets_long_term,derivative_hedging_assets_long_term,prepaid_pension_costs,discontinued_operations_long_term,investments_in_affiliates,miscellaneous_long_term_assets,total_noncurrent_assets,total_assets,payables_accruals,accounts_payable,accrued_taxes,interest_dividends_payable,other_payables_accruals,short_term_debt,short_term_borrowings,short_term_capital_leases,current_portion_of_long_term_debt,other_short_term_liabilities,deferred_revenue_short_term,liabilities_from_derivatives_hedging_short_term,deferred_tax_liabilities_short_term,liabilities_from_discontinued_operations_short_term,miscellaneous_short_term_liabilities,total_current_liabilities,long_term_debt,long_term_borrowings,long_term_capital_leases,other_long_term_liabilities,accrued_liabilities,pension_liabilities,pensions,other_post_retirement_benefits,deferred_compensation,deferred_revenue_long_term,deferred_tax_liabilities_long_term,liabilities_from_derivatives_hedging_long_term,liabilities_from_discontinued_operations_long_term,miscellaneous_long_term_liabilities,total_noncurrent_liabilities,total_liabilities,preferred_equity,share_capital_additional_paid_in_capital,common_stock,additional_paid_in_capital,other_share_capital,treasury_stock,retained_earnings,other_equity,equity_before_minority_interest,minority_interest,total_equity,total_liabilities_equity
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2023,2023-03-31,2023-04-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000095017023013890/0000950170-23-013890-index.htm,FALSE,TRUE,0,22402000000,16048000000,6354000000,2993000000,2993000000,NA,NA,14375000000,NA,NA,NA,NA,3227000000,3227000000,NA,NA,NA,NA,NA,NA,42997000000,24969000000,NA,NA,NA,NA,NA,NA,18867000000,204000000,195000000,NA,NA,NA,NA,NA,NA,NA,18468000000,43836000000,86833000000,23225000000,15904000000,NA,NA,7321000000,1404000000,NA,NA,NA,2807000000,1750000000,NA,NA,NA,1057000000,27436000000,1272000000,NA,NA,8890000000,NA,NA,NA,NA,NA,2911000000,NA,NA,NA,5979000000,10162000000,37598000000,NA,32881000000,NA,NA,NA,NA,15398000000,-225000000,48054000000,1181000000,49235000000,86833000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2022,2022-12-31,2023-01-31,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000162828024002390/0001628280-24-002390-index.htm,FALSE,TRUE,0,22185000000,16253000000,5932000000,2952000000,2952000000,NA,NA,12839000000,NA,NA,NA,NA,2941000000,2941000000,NA,NA,NA,NA,NA,NA,40917000000,23548000000,NA,NA,NA,NA,NA,NA,17873000000,5250000000,194000000,NA,NA,328000000,NA,NA,NA,NA,12101000000,41421000000,82338000000,23460000000,15255000000,NA,NA,8205000000,1502000000,NA,NA,NA,1747000000,1747000000,NA,NA,NA,NA,26709000000,1597000000,NA,NA,8134000000,NA,NA,NA,NA,NA,2804000000,NA,NA,NA,5330000000,9731000000,36440000000,NA,32180000000,NA,NA,NA,NA,12885000000,-361000000,44704000000,1194000000,45898000000,82338000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2022,2022-09-30,2022-10-24,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000095017022019867/0000950170-22-019867-index.htm,FALSE,TRUE,0,21107000000,19532000000,1575000000,2192000000,2192000000,NA,NA,10327000000,NA,NA,NA,NA,2364000000,2364000000,NA,NA,NA,NA,NA,NA,35990000000,21926000000,NA,NA,NA,NA,NA,NA,16510000000,5052000000,191000000,NA,NA,NA,NA,NA,NA,NA,11267000000,38436000000,74426000000,20143000000,13897000000,NA,NA,6246000000,1457000000,NA,NA,NA,3011000000,1928000000,NA,NA,NA,1083000000,24611000000,2096000000,NA,NA,6595000000,NA,NA,NA,NA,NA,2265000000,NA,NA,NA,4330000000,8691000000,33302000000,NA,31595000000,NA,NA,NA,NA,9198000000,-942000000,39851000000,1273000000,41124000000,74426000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2022,2022-06-30,2022-07-25,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000095017022012936/0000950170-22-012936-index.htm,FALSE,TRUE,0,18915000000,18324000000,591000000,2081000000,2081000000,NA,NA,8108000000,NA,NA,NA,NA,2118000000,2118000000,NA,NA,NA,NA,NA,NA,31222000000,21093000000,NA,NA,NA,NA,NA,NA,16198000000,241000000,196000000,NA,NA,NA,NA,NA,NA,NA,15761000000,37291000000,68513000000,17249000000,11212000000,NA,NA,6037000000,1532000000,NA,NA,1532000000,3040000000,1858000000,NA,NA,NA,1182000000,21821000000,2898000000,NA,NA,6136000000,NA,NA,NA,NA,NA,2210000000,NA,NA,NA,3926000000,9034000000,30855000000,NA,30945000000,1000000,30944000000,NA,NA,5908000000,-477000000,36376000000,1282000000,37658000000,68513000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2022,2022-03-31,2022-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000095017022006034/0000950170-22-006034-index.htm,FALSE,TRUE,0,18013000000,17505000000,508000000,2311000000,2311000000,NA,NA,6691000000,NA,NA,NA,NA,2035000000,2035000000,NA,NA,NA,NA,NA,NA,29050000000,20027000000,NA,NA,NA,NA,NA,NA,16961000000,254000000,200000000,NA,NA,NA,NA,NA,NA,NA,16507000000,36988000000,66038000000,17077000000,11171000000,NA,NA,5906000000,1659000000,NA,NA,1659000000,2719000000,1594000000,NA,NA,NA,1125000000,21455000000,3153000000,NA,NA,6024000000,NA,NA,NA,NA,NA,2185000000,NA,NA,NA,3839000000,9177000000,30632000000,NA,30486000000,1000000,30485000000,NA,NA,3649000000,-50000000,34085000000,1321000000,35406000000,66038000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2021,2021-12-31,2022-02-07,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000095017023001409/0000950170-23-001409-index.htm,FALSE,TRUE,0,17707000000,17576000000,131000000,1913000000,1913000000,NA,NA,5757000000,NA,NA,NA,NA,1723000000,1723000000,NA,NA,NA,NA,NA,NA,27100000000,18884000000,NA,NA,NA,NA,NA,NA,16147000000,257000000,200000000,NA,NA,NA,NA,NA,NA,NA,15690000000,35031000000,62131000000,15744000000,10025000000,NA,NA,5719000000,1589000000,NA,NA,NA,2372000000,1447000000,NA,NA,NA,925000000,19705000000,5245000000,NA,NA,5598000000,NA,NA,NA,NA,NA,2052000000,NA,NA,NA,3546000000,10843000000,30548000000,NA,29806000000,NA,NA,NA,NA,329000000,54000000,30189000000,1394000000,31583000000,62131000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2021,2021-09-30,2021-10-25,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000095017021002253/0000950170-21-002253-index.htm,FALSE,TRUE,0,16095000000,16065000000,30000000,1962000000,1962000000,NA,NA,5199000000,NA,NA,NA,NA,1746000000,1746000000,NA,NA,NA,NA,NA,NA,25002000000,17298000000,NA,NA,NA,NA,NA,NA,15534000000,269000000,201000000,NA,NA,NA,NA,NA,NA,NA,15064000000,32832000000,57834000000,13703000000,8260000000,NA,NA,5443000000,1716000000,NA,NA,1716000000,2632000000,1801000000,NA,NA,NA,831000000,18051000000,6438000000,NA,NA,4851000000,NA,NA,NA,NA,NA,1365000000,NA,NA,NA,3486000000,11289000000,29340000000,NA,28923000000,1000000,28922000000,NA,NA,-1990000000,120000000,27053000000,1441000000,28494000000,57834000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2021,2021-06-30,2021-07-27,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000095017021000524/0000950170-21-000524-index.htm,FALSE,TRUE,0,16229000000,16229000000,NA,2129000000,2129000000,NA,NA,4733000000,NA,NA,NA,NA,1602000000,1602000000,NA,NA,NA,NA,NA,NA,24693000000,19413000000,NA,NA,NA,NA,NA,NA,11040000000,283000000,203000000,NA,NA,NA,NA,NA,NA,NA,10554000000,30453000000,55146000000,12336000000,7558000000,NA,NA,4778000000,1530000000,NA,NA,1530000000,2505000000,1693000000,NA,NA,NA,812000000,16371000000,7871000000,NA,NA,4654000000,NA,NA,NA,NA,NA,1318000000,NA,NA,NA,3336000000,12525000000,28896000000,NA,28206000000,1000000,28205000000,NA,NA,-3608000000,206000000,24804000000,1446000000,26250000000,55146000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2021,2021-03-31,2021-04-28,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000095017021000046/0000950170-21-000046-index.htm,FALSE,TRUE,0,17141000000,17141000000,NA,1890000000,1890000000,NA,NA,4132000000,NA,NA,NA,NA,1542000000,1542000000,NA,NA,NA,NA,NA,NA,24705000000,17264000000,NA,NA,NA,NA,NA,NA,11003000000,299000000,206000000,NA,NA,NA,NA,NA,NA,NA,10498000000,28267000000,52972000000,10721000000,6648000000,NA,NA,4073000000,1819000000,NA,NA,1819000000,2337000000,1592000000,NA,NA,NA,745000000,14877000000,9053000000,NA,NA,4577000000,NA,NA,NA,NA,NA,1294000000,NA,NA,NA,3283000000,13630000000,28507000000,NA,27624000000,1000000,27623000000,NA,NA,-4750000000,143000000,23017000000,1448000000,24465000000,52972000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2020,2020-12-31,2021-02-08,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000095017022000796/0000950170-22-000796-index.htm,FALSE,TRUE,0,19384000000,19384000000,NA,1886000000,1886000000,NA,NA,4101000000,NA,NA,NA,NA,1346000000,1346000000,NA,NA,NA,NA,NA,NA,26717000000,12747000000,NA,NA,NA,NA,NA,NA,12684000000,313000000,207000000,NA,NA,NA,NA,NA,NA,NA,12164000000,25431000000,52148000000,9906000000,6051000000,NA,NA,3855000000,2132000000,NA,NA,2132000000,2210000000,1458000000,NA,NA,NA,752000000,14248000000,9556000000,NA,NA,4614000000,NA,NA,NA,NA,NA,1284000000,NA,NA,NA,3330000000,14170000000,28418000000,NA,27261000000,1000000,27260000000,NA,NA,-5399000000,363000000,22225000000,1505000000,23730000000,52148000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2020,2020-09-30,2020-10-26,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000156459020047486/0001564590-20-047486-index.htm,FALSE,TRUE,0,14531000000,14531000000,NA,1757000000,1757000000,NA,NA,4218000000,NA,NA,NA,NA,1238000000,1238000000,NA,NA,NA,NA,NA,NA,21744000000,11848000000,NA,NA,NA,NA,NA,NA,12099000000,318000000,203000000,NA,NA,NA,NA,NA,NA,NA,11578000000,23947000000,45691000000,8210000000,4958000000,NA,NA,3252000000,3126000000,NA,NA,3126000000,1966000000,1258000000,NA,NA,NA,708000000,13302000000,10559000000,NA,NA,4282000000,NA,NA,NA,NA,NA,1233000000,NA,NA,NA,3049000000,14841000000,28143000000,NA,21575000000,1000000,21574000000,NA,NA,-5669000000,125000000,16031000000,1517000000,17548000000,45691000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2020,2020-06-30,2020-07-28,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000156459020033670/0001564590-20-033670-index.htm,FALSE,TRUE,0,8615000000,8615000000,NA,1485000000,1485000000,NA,NA,4018000000,NA,NA,NA,NA,1218000000,1218000000,NA,NA,NA,NA,NA,NA,15336000000,11009000000,NA,NA,NA,NA,NA,NA,11790000000,312000000,196000000,NA,NA,NA,NA,NA,NA,NA,11282000000,22799000000,38135000000,6748000000,3638000000,NA,NA,3110000000,3679000000,NA,NA,3679000000,1843000000,1130000000,NA,NA,NA,713000000,12270000000,10416000000,NA,NA,4068000000,NA,NA,NA,NA,NA,1198000000,NA,NA,NA,2870000000,14484000000,26754000000,0,15895000000,0,15895000000,NA,NA,-6000000000,-40000000,9855000000,1526000000,11381000000,38135000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q1,2020,2020-03-31,2020-04-30,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000156459020019931/0001564590-20-019931-index.htm,FALSE,TRUE,0,8080000000,8080000000,NA,1274000000,1274000000,NA,NA,4494000000,NA,NA,NA,NA,1045000000,1045000000,NA,NA,NA,NA,NA,NA,14893000000,10638000000,NA,NA,NA,NA,NA,NA,11719000000,323000000,193000000,NA,NA,NA,NA,NA,NA,NA,11203000000,22357000000,37250000000,6795000000,3970000000,NA,NA,2825000000,3217000000,NA,NA,3217000000,1974000000,1186000000,NA,NA,NA,788000000,11986000000,10666000000,NA,NA,3866000000,NA,NA,NA,NA,NA,1199000000,NA,NA,NA,2667000000,14532000000,26518000000,0,15390000000,0,15390000000,NA,NA,-6104000000,-113000000,9173000000,1559000000,10732000000,37250000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q4,2019,2019-12-31,2020-02-13,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000156459021004599/0001564590-21-004599-index.htm,FALSE,TRUE,0,6268000000,6268000000,NA,1324000000,1324000000,NA,NA,3552000000,NA,NA,NA,NA,959000000,959000000,NA,NA,NA,NA,NA,NA,12103000000,10396000000,NA,NA,NA,NA,NA,NA,11810000000,339000000,198000000,NA,NA,NA,NA,NA,NA,NA,11273000000,22206000000,34309000000,6993000000,3771000000,NA,NA,3222000000,1785000000,NA,NA,1785000000,1889000000,1163000000,NA,NA,NA,726000000,10667000000,11634000000,NA,NA,3898000000,NA,NA,NA,NA,NA,1207000000,NA,NA,NA,2691000000,15532000000,26199000000,NA,12737000000,1000000,12736000000,NA,NA,-6083000000,-36000000,6618000000,1492000000,8110000000,34309000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q3,2019,2019-09-30,2019-10-29,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000156459019038256/0001564590-19-038256-index.htm,FALSE,TRUE,0,5338000000,5338000000,NA,1128000000,1128000000,NA,NA,3581000000,NA,NA,NA,NA,893000000,660000000,NA,NA,NA,NA,NA,233000000,10940000000,10190000000,NA,NA,398000000,NA,NA,398000000,11267000000,351000000,186000000,NA,NA,NA,NA,NA,NA,NA,10730000000,21855000000,32795000000,5965000000,3468000000,NA,NA,2497000000,2030000000,NA,NA,2030000000,2151000000,1045000000,NA,NA,NA,1106000000,10146000000,11313000000,NA,NA,3854000000,NA,NA,NA,NA,NA,1140000000,NA,NA,NA,2714000000,15167000000,25313000000,0,12348000000,0,12348000000,NA,NA,-6188000000,-120000000,6040000000,1442000000,7482000000,32795000000
GENERAL,Tesla,56317,TSLA,USD,US88160R1014,Q2,2019,2019-06-30,2019-07-29,TRUE,https://www.sec.gov/Archives/edgar/data/1318605/000156459019026445/0001564590-19-026445-index.htm,FALSE,TRUE,0,4954740000,4954740000,NA,1147100000,1147100000,NA,NA,3382358000,NA,NA,NA,NA,697754000,569748000,NA,NA,NA,NA,NA,128006000,10181952000,10082458000,NA,NA,400308000,NA,NA,400308000,11207879000,327358000,153475000,NA,NA,NA,NA,NA,NA,NA,10727046000,21690645000,31872597000,5756530000,3133587000,NA,NA,2622943000,1791085000,NA,NA,1791085000,2041158000,883293000,NA,NA,NA,1157865000,9588773000,11234401000,NA,NA,3898962000,NA,NA,NA,NA,NA,1182042000,NA,NA,NA,2716920000,15133363000,24722136000,0,12052637000,179000,12052458000,NA,NA,-6331639000,-5605000,5715393000,1435068000,7150461000,31872597000
