template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,net_income_starting_line,net_income,net_income_from_discontinued_operations,other_adjustments,depreciation_amortization,non_cash_items,stock_based_compensation,deferred_income_taxes,other_non_cash_adjustments,change_in_working_capital,x_increase_decrease_in_accounts_receivable,x_increase_decrease_in_inventories,increase_decrease_in_accounts_payable,increase_decrease_in_other,net_cash_from_discontinued_operations_operating,cash_from_operating_activities,change_in_fixed_assets_intangibles,disposition_of_fixed_assets_intangibles,disposition_of_fixed_assets,disposition_of_intangible_assets,acquisition_of_fixed_assets_intangibles,purchase_of_fixed_assets,acquisition_of_intangible_assets,other_change_in_fixed_assets_intangibles,net_change_in_long_term_investment,decrease_in_long_term_investment,increase_in_long_term_investment,net_cash_from_acquisitions_divestitures,net_cash_from_divestitures,cash_for_acqusition_of_subsidiaries,cash_for_joint_ventures,net_cash_from_other_acquisitions,other_investing_activities,net_cash_from_discontinued_operations_investing,cash_from_investing_activities,dividends_paid,cash_from_repayment_of_debt,cash_from_repayment_of_short_term_debt_net,cash_from_repayment_of_long_term_debt_net,repayments_of_long_term_debt,cash_from_long_term_debt,cash_from_repurchase_of_equity,increase_in_capital_stock,decrease_in_capital_stock,other_financing_activities,net_cash_from_discontinued_operations_financing,cash_from_financing_activities,net_cash_before_disc_operations_and_fx,change_in_cash_from_disc_operations_and_other,net_cash_before_fx,effect_of_foreign_exchange_rates,net_changes_in_cash
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2023,2023-03-31,2023-04-26,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204424000053/0001652044-24-000053-index.htm,FALSE,TRUE,0,15051000000,NA,NA,NA,2635000000,4450000000,5284000000,-1854000000,1020000000,1373000000,4454000000,NA,-1105000000,-1976000000,NA,23509000000,-6289000000,NA,NA,NA,-6289000000,-6289000000,NA,NA,3510000000,18363000000,-14853000000,-42000000,NA,NA,NA,-42000000,-125000000,NA,-2946000000,NA,-25000000,NA,NA,NA,NA,-14557000000,NA,-14557000000,-1986000000,NA,-16568000000,3995000000,NA,3995000000,50000000,4045000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2022,2022-12-31,2023-02-03,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000094/0001652044-23-000094-index.htm,FALSE,TRUE,0,13624000000,NA,NA,NA,2253000000,7448000000,NA,NA,NA,289000000,NA,NA,NA,NA,NA,23614000000,-7595000000,NA,NA,NA,-7595000000,-7595000000,NA,NA,1230000000,NA,NA,-84000000,NA,NA,NA,NA,222000000,NA,-6227000000,0,-168000000,NA,NA,NA,NA,-15407000000,NA,-15407000000,-2054000000,NA,-17629000000,-242000000,NA,-242000000,137000000,-105000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2022,2022-09-30,2022-10-26,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000070/0001652044-23-000070-index.htm,FALSE,TRUE,0,13910000000,NA,NA,NA,3933000000,4714000000,NA,NA,NA,796000000,NA,NA,NA,NA,NA,23353000000,-7276000000,NA,NA,NA,-7276000000,-7276000000,NA,NA,11301000000,NA,NA,-5649000000,NA,NA,NA,NA,791000000,NA,-833000000,NA,-674000000,NA,NA,NA,NA,-15392000000,NA,-15392000000,-2031000000,NA,-18097000000,4423000000,NA,4423000000,-375000000,4048000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2022,2022-06-30,2022-07-27,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000045/0001652044-23-000045-index.htm,FALSE,TRUE,0,16002000000,NA,NA,NA,3698000000,3939000000,NA,NA,NA,-4217000000,NA,NA,NA,NA,NA,19422000000,-6828000000,NA,NA,NA,-6828000000,-6828000000,NA,NA,3483000000,NA,NA,-1063000000,NA,NA,NA,NA,221000000,NA,-4187000000,NA,-356000000,NA,NA,NA,NA,-15197000000,NA,-15197000000,-2264000000,NA,-17817000000,-2582000000,NA,-2582000000,-368000000,-2950000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2022,2022-03-31,2022-04-27,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204423000045/0001652044-23-000045-index.htm,FALSE,TRUE,0,16436000000,NA,NA,NA,3591000000,4182000000,NA,NA,NA,897000000,NA,NA,NA,NA,NA,25106000000,-9786000000,NA,NA,NA,-9786000000,-9786000000,NA,NA,553000000,NA,NA,-173000000,NA,NA,NA,NA,355000000,NA,-9051000000,NA,2000000,NA,NA,NA,NA,-13300000000,NA,-13300000000,-2916000000,NA,-16214000000,-159000000,NA,-159000000,100000000,-59000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2021,2021-12-31,2022-02-02,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000090/0001652044-22-000090-index.htm,FALSE,TRUE,0,20642000000,NA,NA,NA,1933000000,4584000000,NA,NA,NA,-2225000000,NA,NA,NA,NA,NA,24934000000,-6383000000,NA,NA,NA,NA,NA,NA,NA,-4348000000,NA,NA,-385000000,NA,NA,NA,NA,100000000,NA,-11016000000,NA,-115000000,NA,NA,NA,NA,-13473000000,NA,-13473000000,-2923000000,NA,-16511000000,-2593000000,NA,-2593000000,-181000000,-2774000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2021,2021-09-30,2021-10-27,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000071/0001652044-22-000071-index.htm,FALSE,TRUE,0,18936000000,NA,NA,NA,3085000000,712000000,NA,NA,NA,2806000000,NA,NA,NA,NA,NA,25539000000,-6819000000,NA,NA,NA,-6819000000,-6819000000,NA,NA,-3360000000,NA,NA,-259000000,NA,NA,NA,NA,388000000,NA,-10050000000,NA,-42000000,NA,NA,NA,NA,-12610000000,NA,-12610000000,-2602000000,NA,-15254000000,235000000,NA,235000000,-146000000,89000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2021,2021-06-30,2021-07-28,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000029/0001652044-22-000029-index.htm,FALSE,TRUE,0,18525000000,NA,NA,NA,2730000000,1506000000,3803000000,379000000,-2676000000,-871000000,-3661000000,NA,-130000000,2920000000,NA,21890000000,-5496000000,NA,NA,NA,-5496000000,-5496000000,NA,NA,-3293000000,21419000000,-24712000000,-308000000,NA,NA,NA,-308000000,23000000,NA,-9074000000,NA,-1042000000,NA,NA,NA,NA,-12796000000,NA,-12796000000,-2153000000,NA,-15991000000,-3175000000,NA,-3175000000,183000000,-2992000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q1,2021,2021-03-31,2021-04-28,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204422000029/0001652044-22-000029-index.htm,FALSE,TRUE,0,17930000000,NA,NA,NA,2525000000,67000000,3745000000,1100000000,-4778000000,-1233000000,2794000000,NA,-982000000,-3045000000,NA,19289000000,-5942000000,NA,NA,NA,-5942000000,-5942000000,NA,NA,2195000000,39248000000,-37053000000,-1666000000,NA,NA,NA,-1666000000,30000000,NA,-5383000000,NA,-37000000,NA,NA,NA,NA,-11395000000,NA,-11395000000,-2174000000,NA,-13606000000,300000000,NA,300000000,-143000000,157000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q4,2020,2020-12-31,2021-02-03,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000057/0001652044-21-000057-index.htm,FALSE,TRUE,0,15227000000,NA,NA,NA,3539000000,2209000000,NA,NA,NA,1702000000,NA,NA,NA,NA,NA,22677000000,-5479000000,NA,NA,NA,-5479000000,-5479000000,NA,NA,-1375000000,NA,NA,-370000000,NA,NA,NA,NA,-57000000,NA,-7281000000,NA,-57000000,NA,NA,NA,NA,-7904000000,NA,-7904000000,-1309000000,NA,-9270000000,6126000000,NA,6126000000,210000000,6336000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q3,2020,2020-09-30,2020-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000047/0001652044-21-000047-index.htm,FALSE,TRUE,0,11247000000,NA,NA,NA,3289000000,1711000000,3195000000,136000000,-1620000000,756000000,-3601000000,NA,420000000,3937000000,NA,17003000000,-5406000000,NA,NA,NA,-5406000000,-5406000000,NA,NA,-9372000000,31877000000,-41249000000,-13000000,NA,NA,NA,-13000000,-406000000,NA,-15197000000,NA,9802000000,NA,NA,NA,NA,-7897000000,NA,-7897000000,-1359000000,NA,546000000,2352000000,NA,2352000000,35000000,2387000000
GENERAL,Alphabet (Google),18,GOOG,USD,US02079K1079,Q2,2020,2020-06-30,2020-07-31,TRUE,https://www.sec.gov/Archives/edgar/data/1652044/000165204421000020/0001652044-21-000020-index.htm,FALSE,TRUE,0,6959000000,NA,NA,NA,3178000000,1529000000,3382000000,-591000000,-1262000000,2327000000,-80000000,NA,146000000,2261000000,NA,13993000000,-5391000000,NA,NA,NA,-5391000000,-5391000000,NA,NA,-3011000000,24063000000,-27074000000,-165000000,NA,NA,NA,-165000000,119000000,NA,-8448000000,NA,-35000000,NA,NA,NA,NA,-6852000000,NA,-6852000000,-611000000,NA,-7498000000,-1953000000,NA,-1953000000,51000000,-1902000000
