template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,net_income_starting_line,net_income,net_income_from_discontinued_operations,other_adjustments,depreciation_amortization,non_cash_items,stock_based_compensation,deferred_income_taxes,other_non_cash_adjustments,change_in_working_capital,x_increase_decrease_in_accounts_receivable,x_increase_decrease_in_inventories,increase_decrease_in_accounts_payable,increase_decrease_in_other,net_cash_from_discontinued_operations_operating,cash_from_operating_activities,change_in_fixed_assets_intangibles,disposition_of_fixed_assets_intangibles,disposition_of_fixed_assets,disposition_of_intangible_assets,acquisition_of_fixed_assets_intangibles,purchase_of_fixed_assets,acquisition_of_intangible_assets,other_change_in_fixed_assets_intangibles,net_change_in_long_term_investment,decrease_in_long_term_investment,increase_in_long_term_investment,net_cash_from_acquisitions_divestitures,net_cash_from_divestitures,cash_for_acqusition_of_subsidiaries,cash_for_joint_ventures,net_cash_from_other_acquisitions,other_investing_activities,net_cash_from_discontinued_operations_investing,cash_from_investing_activities,dividends_paid,cash_from_repayment_of_debt,cash_from_repayment_of_short_term_debt_net,cash_from_repayment_of_long_term_debt_net,repayments_of_long_term_debt,cash_from_long_term_debt,cash_from_repurchase_of_equity,increase_in_capital_stock,decrease_in_capital_stock,other_financing_activities,net_cash_from_discontinued_operations_financing,cash_from_financing_activities,net_cash_before_disc_operations_and_fx,change_in_cash_from_disc_operations_and_other,net_cash_before_fx,effect_of_foreign_exchange_rates,net_changes_in_cash
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2023,2023-03-31,2023-05-05,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/0000320193-24-000006-index.htm,FALSE,TRUE,0,24160000000,NA,NA,NA,2898000000,1271000000,NA,NA,NA,231000000,NA,NA,NA,NA,NA,28560000000,-2916000000,NA,NA,NA,-2916000000,-2916000000,NA,NA,5341000000,NA,NA,NA,NA,NA,NA,NA,-106000000,NA,2319000000,-3650000000,-1996000000,NA,NA,NA,NA,-19594000000,NA,-19594000000,-484000000,NA,-25724000000,5155000000,NA,5155000000,NA,5155000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2023,2022-12-31,2023-02-03,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/0000320193-24-000006-index.htm,FALSE,TRUE,0,29998000000,NA,NA,NA,2916000000,2588000000,NA,NA,NA,-1497000000,NA,NA,NA,NA,NA,34005000000,-3787000000,NA,NA,NA,-3787000000,-3787000000,NA,NA,2483000000,NA,NA,NA,NA,NA,NA,NA,-141000000,NA,-1445000000,-3768000000,-9615000000,NA,NA,NA,NA,-19475000000,NA,-19475000000,-2705000000,NA,-35563000000,-3003000000,NA,-3003000000,NA,-3003000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2022,2022-09-30,2022-10-28,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/0000320193-23-000077-index.htm,FALSE,TRUE,0,20721000000,NA,NA,NA,2865000000,589000000,NA,NA,NA,-48000000,NA,NA,NA,NA,NA,24127000000,-3289000000,NA,NA,NA,NA,NA,NA,NA,2806000000,NA,NA,NA,NA,NA,NA,NA,-734000000,NA,-1217000000,-3703000000,1657000000,NA,NA,NA,NA,-24428000000,NA,-24428000000,-320000000,NA,-26794000000,-3884000000,NA,-3884000000,NA,-3884000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2022,2022-06-30,2022-07-29,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/0000320193-23-000064-index.htm,FALSE,TRUE,0,19442000000,NA,NA,NA,2805000000,3870000000,NA,NA,NA,-3225000000,NA,NA,NA,NA,NA,22892000000,-2102000000,NA,NA,NA,-2102000000,-2102000000,NA,NA,6953000000,NA,NA,NA,NA,NA,NA,NA,-617000000,NA,4234000000,-3811000000,971000000,NA,NA,NA,NA,-21865000000,NA,-21865000000,-2740000000,NA,-27445000000,-319000000,NA,-319000000,NA,-319000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2022,2022-03-31,2022-04-29,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/0000320193-23-000006-index.htm,FALSE,TRUE,0,25010000000,NA,NA,NA,2737000000,2471000000,2252000000,NA,219000000,-2052000000,NA,NA,NA,NA,NA,28166000000,-2514000000,NA,NA,NA,-2514000000,-2514000000,NA,NA,-6390000000,NA,NA,NA,NA,NA,NA,NA,-361000000,NA,-9265000000,-3595000000,-1751000000,NA,NA,NA,NA,-22631000000,NA,-22631000000,-374000000,NA,-28351000000,-9450000000,NA,-9450000000,NA,-9450000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2022,2021-12-31,2022-01-28,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/0000320193-23-000006-index.htm,FALSE,TRUE,0,34630000000,NA,NA,NA,2697000000,3114000000,2265000000,NA,849000000,6525000000,NA,NA,NA,NA,NA,46966000000,-2803000000,NA,NA,NA,-2803000000,-2803000000,NA,NA,-12929000000,NA,NA,NA,NA,NA,NA,NA,-374000000,NA,-16106000000,-3732000000,-1000000000,NA,NA,NA,NA,-20478000000,NA,-20478000000,-2949000000,NA,-28159000000,2701000000,NA,2701000000,NA,2701000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2021,2021-09-30,2021-10-29,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/0000320193-22-000070-index.htm,FALSE,TRUE,0,20551000000,NA,NA,NA,2989000000,-1550000000,NA,NA,NA,-1790000000,NA,NA,NA,NA,NA,20200000000,-3223000000,NA,NA,NA,-3223000000,NA,NA,NA,4352000000,NA,NA,13000000,NA,NA,NA,NA,-307000000,NA,835000000,-3640000000,3220000000,NA,NA,NA,NA,-19748000000,NA,-19748000000,-214000000,NA,-20382000000,653000000,NA,653000000,NA,653000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2021,2021-06-30,2021-07-28,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/0000320193-22-000059-index.htm,FALSE,TRUE,0,21744000000,NA,NA,NA,2832000000,1215000000,1960000000,-530000000,-215000000,-4697000000,NA,NA,NA,NA,NA,21094000000,-2093000000,NA,NA,NA,-2093000000,NA,NA,NA,5747000000,25375000000,-19628000000,-4000000,NA,NA,NA,NA,-78000000,NA,3572000000,-3767000000,0,3000000000,-3000000000,-3000000000,0,-22900000000,NA,-22900000000,-2729000000,NA,-29396000000,-4730000000,NA,-4730000000,NA,-4730000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2021,2021-03-31,2021-04-29,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/0000320193-22-000007-index.htm,FALSE,TRUE,0,23630000000,NA,NA,NA,2797000000,1333000000,1981000000,-149000000,-499000000,-3779000000,NA,NA,NA,NA,NA,23981000000,-2269000000,NA,NA,NA,-2269000000,NA,NA,NA,-7895000000,26729000000,-34624000000,-9000000,NA,NA,NA,NA,-195000000,NA,-10368000000,-3447000000,10423000000,0,10423000000,-3500000000,13923000000,-18548000000,NA,-18548000000,246000000,NA,-11326000000,2287000000,NA,2287000000,NA,2287000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2021,2020-12-31,2021-01-28,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/0000320193-22-000007-index.htm,FALSE,TRUE,0,28755000000,NA,NA,NA,2666000000,1987000000,2020000000,-58000000,25000000,5355000000,NA,NA,NA,NA,NA,38763000000,-3500000000,NA,NA,NA,-3500000000,NA,NA,NA,-5279000000,34521000000,-39800000000,NA,NA,NA,NA,NA,195000000,NA,-8584000000,-3613000000,-978000000,22000000,-1000000000,-1000000000,NA,-24775000000,NA,-24775000000,-2883000000,NA,-32249000000,-2070000000,NA,-2070000000,NA,-2070000000
