template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,net_income_starting_line,net_income,net_income_from_discontinued_operations,other_adjustments,depreciation_amortization,non_cash_items,stock_based_compensation,deferred_income_taxes,other_non_cash_adjustments,change_in_working_capital,x_increase_decrease_in_accounts_receivable,x_increase_decrease_in_inventories,increase_decrease_in_accounts_payable,increase_decrease_in_other,net_cash_from_discontinued_operations_operating,cash_from_operating_activities,change_in_fixed_assets_intangibles,disposition_of_fixed_assets_intangibles,disposition_of_fixed_assets,disposition_of_intangible_assets,acquisition_of_fixed_assets_intangibles,purchase_of_fixed_assets,acquisition_of_intangible_assets,other_change_in_fixed_assets_intangibles,net_change_in_long_term_investment,decrease_in_long_term_investment,increase_in_long_term_investment,net_cash_from_acquisitions_divestitures,net_cash_from_divestitures,cash_for_acqusition_of_subsidiaries,cash_for_joint_ventures,net_cash_from_other_acquisitions,other_investing_activities,net_cash_from_discontinued_operations_investing,cash_from_investing_activities,dividends_paid,cash_from_repayment_of_debt,cash_from_repayment_of_short_term_debt_net,cash_from_repayment_of_long_term_debt_net,repayments_of_long_term_debt,cash_from_long_term_debt,cash_from_repurchase_of_equity,increase_in_capital_stock,decrease_in_capital_stock,other_financing_activities,net_cash_from_discontinued_operations_financing,cash_from_financing_activities,net_cash_before_disc_operations_and_fx,change_in_cash_from_disc_operations_and_other,net_cash_before_fx,effect_of_foreign_exchange_rates,net_changes_in_cash
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2023,2023-03-31,2023-04-25,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017024048288/0000950170-24-048288-index.htm,FALSE,TRUE,0,18299000000,NA,NA,NA,3549000000,750000000,NA,NA,NA,1843000000,NA,NA,NA,NA,NA,24441000000,-6607000000,NA,NA,NA,NA,NA,NA,NA,5330000000,NA,NA,-301000000,NA,NA,NA,NA,-258000000,NA,-1836000000,-5059000000,0,NA,NA,NA,NA,-4973000000,536000000,-5509000000,-1686000000,NA,-11718000000,10887000000,NA,10887000000,29000000,10916000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2023,2022-12-31,2023-01-24,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/0000950170-24-008814-index.htm,FALSE,TRUE,0,16425000000,NA,NA,NA,3648000000,1447000000,2538000000,-1305000000,214000000,-10347000000,-3164000000,1305000000,-2058000000,-6430000000,NA,11173000000,-6274000000,NA,NA,NA,-6274000000,-6274000000,NA,NA,104000000,104000000,NA,-679000000,NA,NA,NA,-679000000,-301000000,NA,-7150000000,-5066000000,-750000000,NA,-750000000,-750000000,0,-5216000000,243000000,-5459000000,-317000000,NA,-11349000000,-7326000000,NA,-7326000000,88000000,-7238000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2023,2022-09-30,2022-10-25,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/0000950170-23-054855-index.htm,FALSE,TRUE,0,17556000000,NA,NA,NA,2790000000,979000000,NA,NA,NA,1873000000,NA,NA,NA,NA,NA,23198000000,-6283000000,NA,NA,NA,NA,NA,NA,NA,4360000000,NA,NA,-349000000,NA,NA,NA,NA,-264000000,NA,-2536000000,-4621000000,-1000000000,NA,NA,NA,NA,-4998000000,575000000,-5573000000,-860000000,NA,-11479000000,9183000000,NA,9183000000,-230000000,8953000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2022,2022-06-30,2022-07-28,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/0000950170-23-014423-index.htm,FALSE,TRUE,0,16740000000,NA,NA,NA,3979000000,2437000000,NA,NA,NA,1473000000,NA,NA,NA,NA,NA,24629000000,-6871000000,NA,NA,NA,NA,NA,NA,NA,-457000000,NA,NA,-1263000000,NA,NA,NA,NA,-341000000,NA,-8932000000,-4632000000,0,NA,NA,NA,NA,-8296000000,461000000,-8757000000,-1138000000,NA,-14066000000,1631000000,NA,1631000000,-198000000,1433000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2022,2022-03-31,2022-04-26,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/0000950170-23-014423-index.htm,FALSE,TRUE,0,16728000000,NA,NA,NA,3773000000,1813000000,1906000000,-198000000,105000000,3072000000,NA,NA,NA,NA,NA,25386000000,-5340000000,NA,NA,NA,NA,NA,NA,NA,9069000000,NA,NA,-18719000000,NA,NA,NA,NA,-158000000,NA,-15148000000,-4645000000,-4197000000,NA,NA,NA,NA,-8345000000,477000000,-8822000000,-1181000000,NA,-18368000000,-8130000000,NA,-8130000000,24000000,-8106000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2022,2021-12-31,2022-01-25,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/0001564590-23-000733-index.htm,FALSE,TRUE,0,18765000000,NA,NA,NA,3496000000,1773000000,1897000000,183000000,-307000000,-9554000000,-5543000000,394000000,235000000,-4640000000,NA,14480000000,-6715000000,NA,NA,NA,-6715000000,-5865000000,-850000000,NA,390000000,NA,NA,NA,NA,NA,NA,NA,5164000000,NA,-1161000000,-4652000000,0,NA,NA,NA,NA,-7142000000,NA,NA,-192000000,NA,-11986000000,1333000000,NA,1333000000,106000000,1439000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2022,2021-09-30,2021-10-26,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/0001564590-22-035087-index.htm,FALSE,TRUE,0,20505000000,NA,NA,NA,3212000000,-4632000000,NA,NA,NA,5455000000,NA,NA,NA,NA,NA,24540000000,-5810000000,NA,NA,NA,-5810000000,NA,NA,NA,4183000000,NA,NA,-1206000000,NA,NA,NA,NA,-172000000,NA,-3005000000,-4206000000,-4826000000,NA,NA,NA,NA,-7072000000,612000000,-7684000000,-417000000,NA,-16521000000,5014000000,NA,5014000000,-73000000,4941000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2021,2021-06-30,2021-07-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/0001564590-22-015675-index.htm,FALSE,TRUE,0,16458000000,NA,NA,NA,3344000000,-633000000,NA,NA,NA,1787000000,NA,NA,NA,NA,NA,20956000000,-6452000000,NA,NA,NA,NA,NA,NA,NA,-4334000000,NA,NA,-501000000,NA,NA,NA,NA,587000000,NA,-10700000000,-4214000000,0,NA,NA,NA,NA,-6727000000,450000000,-7177000000,1171000000,NA,-9770000000,486000000,NA,486000000,36000000,522000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2021,2021-03-31,2021-04-27,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/0001564590-22-015675-index.htm,FALSE,TRUE,0,15457000000,NA,NA,NA,2936000000,1086000000,1525000000,-88000000,-351000000,2700000000,290000000,-329000000,833000000,1906000000,NA,22179000000,-5089000000,NA,NA,NA,-5089000000,-5089000000,NA,NA,2517000000,20892000000,-18375000000,-7512000000,NA,NA,NA,NA,400000000,NA,-9684000000,-4221000000,-500000000,NA,NA,NA,NA,-6534000000,396000000,-6930000000,-1937000000,NA,-13192000000,-697000000,NA,-697000000,-33000000,-730000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2021,2020-12-31,2021-01-26,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022002324/0001564590-22-002324-index.htm,FALSE,TRUE,0,15463000000,NA,NA,NA,2761000000,1195000000,1566000000,-17000000,-354000000,-6903000000,-4008000000,788000000,33000000,-3716000000,NA,12516000000,-4174000000,NA,NA,NA,-4174000000,-4174000000,NA,NA,2593000000,17685000000,-15092000000,-415000000,NA,NA,NA,NA,327000000,NA,-1669000000,-4230000000,-3250000000,NA,NA,NA,NA,-6233000000,302000000,-6535000000,79000000,NA,-13634000000,-2787000000,NA,-2787000000,14000000,-2773000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2021,2020-09-30,2020-10-27,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459021051992/0001564590-21-051992-index.htm,FALSE,TRUE,0,13893000000,NA,NA,NA,2645000000,1317000000,1456000000,-11000000,-128000000,1480000000,8843000000,-808000000,315000000,-6870000000,NA,19335000000,-4907000000,NA,NA,NA,-4907000000,-4907000000,NA,NA,2100000000,16680000000,-14580000000,-481000000,NA,NA,NA,NA,-2083000000,NA,-5371000000,-3856000000,0,NA,NA,NA,NA,-6198000000,545000000,-6743000000,-235000000,NA,-10289000000,3675000000,NA,3675000000,-46000000,3629000000
