template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,revenue,sales_services_revenue,financing_revenue,other_revenue,cost_of_revenue,cost_of_goods_services,cost_of_financing_revenue,cost_of_other_revenue,gross_profit,other_operating_income,operating_expenses,selling_general_administrative,selling_marketing,general_administrative,research_development,depreciation_amortization,provision_for_doubtful_accounts,other_operating_expense,operating_income_loss,non_operating_income_loss,interest_expense_net,interest_expense,interest_income,other_investment_income_loss,foreign_exchange_gain_loss,income_loss_from_affiliates,other_non_operating_income_loss,pretax_income_loss_adjusted,abnormal_gains_losses,acquired_in_process_r_d,merger_acquisition_expense,abnormal_derivatives,disposal_of_assets,early_extinguishment_of_debt,asset_write_down,impairment_of_goodwill_intangibles,sale_of_business,legal_settlement,restructuring_charges,sale_of_and_unrealized_investments,insurance_settlement,other_abnormal_items,pretax_income_loss,income_tax_expense_benefit_net,current_income_tax,deferred_income_tax,tax_allowance_credit,income_loss_from_affiliates_net_of_taxes,income_loss_from_continuing_operations,net_extraordinary_gains_losses,discontinued_operations,xo_accounting_charges_other,income_loss_including_minority_interest,minority_interest,net_income,preferred_dividends,other_adjustments,net_income_available_to_common_shareholders
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2023,2022-12-31,2023-01-24,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017024008814/0000950170-24-008814-index.htm,FALSE,TRUE,0,52747000000,NA,NA,NA,-17488000000,NA,NA,NA,35259000000,NA,-14860000000,-8016000000,NA,NA,-6844000000,NA,NA,NA,20399000000,-60000000,NA,NA,NA,NA,NA,NA,-60000000,20339000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20339000000,-3914000000,NA,NA,NA,NA,16425000000,NA,NA,NA,16425000000,NA,16425000000,NA,NA,16425000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2023,2022-09-30,2022-10-25,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017023054855/0000950170-23-054855-index.htm,FALSE,TRUE,0,50122000000,NA,NA,NA,-15452000000,NA,NA,NA,34670000000,NA,-13152000000,-6524000000,NA,NA,-6628000000,NA,NA,NA,21518000000,54000000,NA,NA,NA,NA,NA,NA,54000000,21572000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21572000000,-4016000000,NA,NA,NA,NA,17556000000,NA,NA,NA,17556000000,NA,17556000000,NA,NA,17556000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2022,2022-06-30,2022-07-28,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/0000950170-23-014423-index.htm,FALSE,TRUE,0,51865000000,NA,NA,NA,-16429000000,NA,NA,NA,35436000000,NA,-14902000000,-8053000000,NA,NA,-6849000000,NA,NA,NA,20534000000,-47000000,NA,NA,NA,NA,NA,NA,-47000000,20487000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20487000000,-3747000000,NA,NA,NA,NA,16740000000,NA,NA,NA,16740000000,NA,16740000000,NA,NA,16740000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2022,2022-03-31,2022-04-26,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000095017023014423/0000950170-23-014423-index.htm,FALSE,TRUE,0,49360000000,NA,NA,NA,-15615000000,NA,NA,NA,33745000000,NA,-13381000000,-7075000000,-5595000000,-1480000000,-6306000000,NA,NA,NA,20364000000,-174000000,NA,NA,NA,NA,NA,NA,-174000000,20190000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20190000000,-3462000000,NA,NA,NA,NA,16728000000,NA,NA,NA,16728000000,NA,16728000000,NA,NA,16728000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2022,2021-12-31,2022-01-25,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459023000733/0001564590-23-000733-index.htm,FALSE,TRUE,0,51728000000,NA,NA,NA,-16960000000,NA,NA,NA,34768000000,NA,-12521000000,-6763000000,-5379000000,-1384000000,-5758000000,NA,NA,NA,22247000000,268000000,NA,NA,NA,NA,NA,NA,268000000,22515000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22515000000,-3750000000,NA,NA,NA,NA,18765000000,NA,NA,NA,18765000000,NA,18765000000,NA,NA,18765000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2022,2021-09-30,2021-10-26,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022035087/0001564590-22-035087-index.htm,FALSE,TRUE,0,45317000000,NA,NA,NA,-13646000000,NA,NA,NA,31671000000,NA,-11433000000,-5834000000,-4547000000,-1287000000,-5599000000,NA,NA,NA,20238000000,286000000,NA,NA,NA,NA,NA,NA,286000000,20524000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20524000000,-19000000,NA,NA,NA,NA,20505000000,NA,NA,NA,20505000000,NA,20505000000,NA,NA,20505000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2021,2021-06-30,2021-07-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/0001564590-22-015675-index.htm,FALSE,TRUE,0,46152000000,NA,NA,NA,-13991000000,NA,NA,NA,32161000000,NA,-13066000000,-7379000000,NA,NA,-5687000000,NA,NA,NA,19095000000,310000000,NA,NA,NA,NA,NA,NA,310000000,19405000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19405000000,-2947000000,NA,NA,NA,NA,16458000000,NA,NA,NA,16458000000,NA,16458000000,NA,NA,16458000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2021,2021-03-31,2021-04-27,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022015675/0001564590-22-015675-index.htm,FALSE,TRUE,0,41706000000,NA,NA,NA,-13045000000,NA,NA,NA,28661000000,NA,-11613000000,-6409000000,-5082000000,-1327000000,-5204000000,NA,NA,NA,17048000000,188000000,NA,NA,NA,NA,NA,NA,188000000,17236000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17236000000,-1779000000,NA,NA,NA,NA,15457000000,NA,NA,NA,15457000000,NA,15457000000,NA,NA,15457000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2021,2020-12-31,2021-01-26,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022002324/0001564590-22-002324-index.htm,FALSE,TRUE,0,43076000000,NA,NA,NA,-14194000000,NA,NA,NA,28882000000,NA,-10985000000,-6086000000,-4947000000,-1139000000,-4899000000,NA,NA,NA,17897000000,440000000,NA,NA,NA,NA,NA,NA,440000000,18337000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18337000000,-2874000000,NA,NA,NA,NA,15463000000,NA,NA,NA,15463000000,NA,15463000000,NA,NA,15463000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q1,2021,2020-09-30,2020-10-27,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459021051992/0001564590-21-051992-index.htm,FALSE,TRUE,0,37154000000,NA,NA,NA,-11002000000,NA,NA,NA,26152000000,NA,-10276000000,-5350000000,-4231000000,-1119000000,-4926000000,NA,NA,NA,15876000000,248000000,NA,NA,NA,NA,NA,NA,248000000,16124000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16124000000,-2231000000,NA,NA,NA,NA,13893000000,NA,NA,NA,13893000000,NA,13893000000,NA,NA,13893000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q4,2020,2020-06-30,2020-07-30,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459022026876/0001564590-22-026876-index.htm,FALSE,TRUE,0,38033000000,NA,NA,NA,-12339000000,NA,NA,NA,25694000000,NA,-12287000000,-7073000000,-5417000000,-1656000000,-5214000000,NA,NA,NA,13407000000,15000000,NA,NA,NA,NA,NA,NA,15000000,13422000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13422000000,-2220000000,NA,NA,NA,NA,11202000000,NA,NA,NA,11202000000,NA,11202000000,NA,NA,11202000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q3,2020,2020-03-31,2020-04-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459021020891/0001564590-21-020891-index.htm,FALSE,TRUE,0,35021000000,NA,NA,NA,-10975000000,NA,NA,NA,24046000000,NA,-11071000000,-6184000000,-4911000000,-1273000000,-4887000000,NA,NA,NA,12975000000,-132000000,NA,NA,NA,NA,NA,NA,-132000000,12843000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12843000000,-2091000000,NA,NA,NA,NA,10752000000,NA,NA,NA,10752000000,NA,10752000000,NA,NA,10752000000
GENERAL,MICROSOFT CORP,59265,MSFT,USD,US5949181045,Q2,2020,2019-12-31,2020-01-29,TRUE,https://www.sec.gov/Archives/edgar/data/789019/000156459021002316/0001564590-21-002316-index.htm,FALSE,TRUE,0,36906000000,NA,NA,NA,-12358000000,NA,NA,NA,24548000000,NA,-10657000000,-6054000000,-4933000000,-1121000000,-4603000000,NA,NA,NA,13891000000,194000000,NA,NA,NA,NA,NA,NA,194000000,14085000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14085000000,-2436000000,NA,NA,NA,NA,11649000000,NA,NA,NA,11649000000,NA,11649000000,NA,NA,11649000000
