template,name,id,ticker,currency,isin,fiscal_period,fiscal_year,report_date,publish_date,restated,source,ttm,value_check,data_model,revenue,sales_services_revenue,financing_revenue,other_revenue,cost_of_revenue,cost_of_goods_services,cost_of_financing_revenue,cost_of_other_revenue,gross_profit,other_operating_income,operating_expenses,selling_general_administrative,selling_marketing,general_administrative,research_development,depreciation_amortization,provision_for_doubtful_accounts,other_operating_expense,operating_income_loss,non_operating_income_loss,interest_expense_net,interest_expense,interest_income,other_investment_income_loss,foreign_exchange_gain_loss,income_loss_from_affiliates,other_non_operating_income_loss,pretax_income_loss_adjusted,abnormal_gains_losses,acquired_in_process_r_d,merger_acquisition_expense,abnormal_derivatives,disposal_of_assets,early_extinguishment_of_debt,asset_write_down,impairment_of_goodwill_intangibles,sale_of_business,legal_settlement,restructuring_charges,sale_of_and_unrealized_investments,insurance_settlement,other_abnormal_items,pretax_income_loss,income_tax_expense_benefit_net,current_income_tax,deferred_income_tax,tax_allowance_credit,income_loss_from_affiliates_net_of_taxes,income_loss_from_continuing_operations,net_extraordinary_gains_losses,discontinued_operations,xo_accounting_charges_other,income_loss_including_minority_interest,minority_interest,net_income,preferred_dividends,other_adjustments,net_income_available_to_common_shareholders
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2023,2023-03-31,2023-05-05,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019324000069/0000320193-24-000069-index.htm,FALSE,TRUE,0,94836000000,NA,NA,NA,-52860000000,NA,NA,NA,41976000000,NA,-13658000000,-6201000000,NA,NA,-7457000000,NA,NA,NA,28318000000,64000000,NA,NA,NA,NA,NA,NA,64000000,28382000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28382000000,-4222000000,NA,NA,NA,NA,24160000000,NA,NA,NA,24160000000,NA,24160000000,NA,NA,24160000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2023,2022-12-31,2023-02-03,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019324000006/0000320193-24-000006-index.htm,FALSE,TRUE,0,117154000000,NA,NA,NA,-66822000000,NA,NA,NA,50332000000,NA,-14316000000,-6607000000,NA,NA,-7709000000,NA,NA,NA,36016000000,-393000000,NA,NA,NA,NA,NA,NA,-393000000,35623000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35623000000,-5625000000,NA,NA,NA,NA,29998000000,NA,NA,NA,29998000000,NA,29998000000,NA,NA,29998000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2022,2022-09-30,2022-10-28,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/0000320193-23-000077-index.htm,FALSE,TRUE,0,90146000000,NA,NA,NA,-52051000000,NA,NA,NA,38095000000,NA,-13201000000,-6440000000,NA,NA,-6761000000,NA,NA,NA,24894000000,-237000000,NA,NA,NA,NA,NA,NA,-237000000,24657000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24657000000,-3936000000,NA,NA,NA,NA,20721000000,NA,NA,NA,20721000000,NA,20721000000,NA,NA,20721000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2022,2022-06-30,2022-07-29,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019323000077/0000320193-23-000077-index.htm,FALSE,TRUE,0,82959000000,NA,NA,NA,-47074000000,NA,NA,NA,35885000000,NA,-12809000000,-6012000000,NA,NA,-6797000000,NA,NA,NA,23076000000,-10000000,NA,NA,NA,NA,NA,NA,-10000000,23066000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23066000000,-3624000000,NA,NA,NA,NA,19442000000,NA,NA,NA,19442000000,NA,19442000000,NA,NA,19442000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2022,2022-03-31,2022-04-29,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019323000064/0000320193-23-000064-index.htm,FALSE,TRUE,0,97278000000,NA,NA,NA,-54719000000,NA,NA,NA,42559000000,NA,-12580000000,-6193000000,NA,NA,-6387000000,NA,NA,NA,29979000000,160000000,NA,NA,NA,NA,NA,NA,160000000,30139000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30139000000,-5129000000,NA,NA,NA,NA,25010000000,NA,NA,NA,25010000000,NA,25010000000,NA,NA,25010000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2022,2021-12-31,2022-01-28,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019323000006/0000320193-23-000006-index.htm,FALSE,TRUE,0,123945000000,NA,NA,NA,-69702000000,NA,NA,NA,54243000000,NA,-12755000000,-6449000000,NA,NA,-6306000000,NA,NA,NA,41488000000,-247000000,NA,NA,NA,NA,NA,NA,-247000000,41241000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41241000000,-6611000000,NA,NA,NA,NA,34630000000,NA,NA,NA,34630000000,NA,34630000000,NA,NA,34630000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2021,2021-09-30,2021-10-29,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/0000320193-22-000070-index.htm,FALSE,TRUE,0,83360000000,NA,NA,NA,-48186000000,NA,NA,NA,35174000000,NA,-11388000000,-5616000000,NA,NA,-5772000000,NA,NA,NA,23786000000,-538000000,NA,NA,NA,NA,NA,NA,-538000000,23248000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23248000000,-2697000000,NA,NA,NA,NA,20551000000,NA,NA,NA,20551000000,NA,20551000000,NA,NA,20551000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2021,2021-06-30,2021-07-28,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019322000070/0000320193-22-000070-index.htm,FALSE,TRUE,0,81434000000,NA,NA,NA,-46179000000,NA,NA,NA,35255000000,NA,-11129000000,-5412000000,NA,NA,-5717000000,NA,NA,NA,24126000000,243000000,NA,NA,NA,NA,NA,NA,243000000,24369000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24369000000,-2625000000,NA,NA,NA,NA,21744000000,NA,NA,NA,21744000000,NA,21744000000,NA,NA,21744000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2021,2021-03-31,2021-04-29,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019322000059/0000320193-22-000059-index.htm,FALSE,TRUE,0,89584000000,NA,NA,NA,-51505000000,NA,NA,NA,38079000000,NA,-10576000000,-5314000000,NA,NA,-5262000000,NA,NA,NA,27503000000,508000000,NA,NA,NA,NA,NA,NA,508000000,28011000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28011000000,-4381000000,NA,NA,NA,NA,23630000000,NA,NA,NA,23630000000,NA,23630000000,NA,NA,23630000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2021,2020-12-31,2021-01-28,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019322000007/0000320193-22-000007-index.htm,FALSE,TRUE,0,111439000000,NA,NA,NA,-67111000000,NA,NA,NA,44328000000,NA,-10794000000,-5631000000,NA,NA,-5163000000,NA,NA,NA,33534000000,45000000,NA,NA,NA,NA,NA,NA,45000000,33579000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33579000000,-4824000000,NA,NA,NA,NA,28755000000,NA,NA,NA,28755000000,NA,28755000000,NA,NA,28755000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2020,2020-09-30,2020-10-30,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/0000320193-21-000065-index.htm,FALSE,TRUE,0,64698000000,NA,NA,NA,-40009000000,NA,NA,NA,24689000000,NA,-9914000000,-4936000000,NA,NA,-4978000000,NA,NA,NA,14775000000,126000000,NA,NA,NA,NA,NA,NA,126000000,14901000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14901000000,-2228000000,NA,NA,NA,NA,12673000000,NA,NA,NA,12673000000,NA,12673000000,NA,NA,12673000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2020,2020-06-30,2020-07-31,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019321000065/0000320193-21-000065-index.htm,FALSE,TRUE,0,59685000000,NA,NA,NA,-37005000000,NA,NA,NA,22680000000,NA,-9589000000,-4831000000,NA,NA,-4758000000,NA,NA,NA,13091000000,46000000,NA,NA,NA,NA,NA,NA,46000000,13137000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13137000000,-1884000000,NA,NA,NA,NA,11253000000,NA,NA,NA,11253000000,NA,11253000000,NA,NA,11253000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2020,2020-03-31,2020-05-01,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019321000056/0000320193-21-000056-index.htm,FALSE,TRUE,0,58313000000,NA,NA,NA,-35943000000,NA,NA,NA,22370000000,NA,-9517000000,-4952000000,NA,NA,-4565000000,NA,NA,NA,12853000000,282000000,NA,NA,NA,NA,NA,NA,282000000,13135000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13135000000,-1886000000,NA,NA,NA,NA,11249000000,NA,NA,NA,11249000000,NA,11249000000,NA,NA,11249000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2020,2019-12-31,2020-01-29,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019321000010/0000320193-21-000010-index.htm,FALSE,TRUE,0,91819000000,NA,NA,NA,-56602000000,NA,NA,NA,35217000000,NA,-9648000000,-5197000000,NA,NA,-4451000000,NA,NA,NA,25569000000,349000000,NA,NA,NA,NA,NA,NA,349000000,25918000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25918000000,-3682000000,NA,NA,NA,NA,22236000000,NA,NA,NA,22236000000,NA,22236000000,NA,NA,22236000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2019,2019-09-30,2019-10-31,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019321000105/0000320193-21-000105-index.htm,FALSE,TRUE,0,64040000000,NA,NA,NA,-39727000000,NA,NA,NA,24313000000,NA,-8688000000,-4578000000,NA,NA,-4110000000,NA,NA,NA,15625000000,502000000,NA,NA,NA,NA,NA,NA,502000000,16127000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16127000000,-2441000000,NA,NA,NA,NA,13686000000,NA,NA,NA,13686000000,NA,13686000000,NA,NA,13686000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2019,2019-06-30,2019-07-31,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019320000062/0000320193-20-000062-index.htm,FALSE,TRUE,0,53809000000,NA,NA,NA,-33582000000,NA,NA,NA,20227000000,NA,-8683000000,-4426000000,NA,NA,-4257000000,NA,NA,NA,11544000000,367000000,NA,NA,NA,NA,NA,NA,367000000,11911000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11911000000,-1867000000,NA,NA,NA,NA,10044000000,NA,NA,NA,10044000000,NA,10044000000,NA,NA,10044000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2019,2019-03-31,2019-05-01,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019320000052/0000320193-20-000052-index.htm,FALSE,TRUE,0,58015000000,NA,NA,NA,-36194000000,NA,NA,NA,21821000000,NA,-8406000000,-4458000000,NA,NA,-3948000000,NA,NA,NA,13415000000,378000000,NA,NA,NA,NA,NA,NA,378000000,13793000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13793000000,-2232000000,NA,NA,NA,NA,11561000000,NA,NA,NA,11561000000,NA,11561000000,NA,NA,11561000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2019,2018-12-31,2019-01-30,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019320000010/0000320193-20-000010-index.htm,FALSE,TRUE,0,84310000000,NA,NA,NA,-52279000000,NA,NA,NA,32031000000,NA,-8685000000,-4783000000,NA,NA,-3902000000,NA,NA,NA,23346000000,560000000,NA,NA,NA,NA,NA,NA,560000000,23906000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23906000000,-3941000000,NA,NA,NA,NA,19965000000,NA,NA,NA,19965000000,NA,19965000000,NA,NA,19965000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2018,2018-09-30,2018-11-05,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019320000096/0000320193-20-000096-index.htm,FALSE,TRUE,0,62900000000,NA,NA,NA,-38816000000,NA,NA,NA,24084000000,NA,-7966000000,-4216000000,NA,NA,-3750000000,NA,NA,NA,16118000000,303000000,NA,NA,NA,NA,NA,NA,303000000,16421000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16421000000,-2296000000,NA,NA,NA,NA,14125000000,NA,NA,NA,14125000000,NA,14125000000,NA,NA,14125000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2018,2018-06-30,2018-08-01,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019319000076/0000320193-19-000076-index.htm,FALSE,TRUE,0,53265000000,NA,NA,NA,-32844000000,NA,NA,NA,20421000000,NA,-7809000000,-4108000000,NA,NA,-3701000000,NA,NA,NA,12612000000,672000000,NA,NA,NA,NA,NA,NA,672000000,13284000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13284000000,-1765000000,NA,NA,NA,NA,11519000000,NA,NA,NA,11519000000,NA,11519000000,NA,NA,11519000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2018,2018-03-31,2018-05-02,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019319000066/0000320193-19-000066-index.htm,FALSE,TRUE,0,61137000000,NA,NA,NA,-37715000000,NA,NA,NA,23422000000,NA,-7528000000,-4150000000,NA,NA,-3378000000,NA,NA,NA,15894000000,274000000,NA,NA,NA,NA,NA,NA,274000000,16168000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16168000000,-2346000000,NA,NA,NA,NA,13822000000,NA,NA,NA,13822000000,NA,13822000000,NA,NA,13822000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2018,2017-12-31,2018-02-02,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019319000010/0000320193-19-000010-index.htm,FALSE,TRUE,0,88293000000,NA,NA,NA,-54381000000,NA,NA,NA,33912000000,NA,-7638000000,-4231000000,NA,NA,-3407000000,NA,NA,NA,26274000000,756000000,NA,NA,NA,NA,NA,NA,756000000,27030000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27030000000,-6965000000,NA,NA,NA,NA,20065000000,NA,NA,NA,20065000000,NA,20065000000,NA,NA,20065000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2017,2017-09-30,2017-11-03,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019319000119/0000320193-19-000119-index.htm,FALSE,TRUE,0,52579000000,NA,NA,NA,-32648000000,NA,NA,NA,19931000000,NA,-6811000000,-3814000000,NA,NA,-2997000000,NA,NA,NA,13120000000,797000000,NA,NA,NA,NA,NA,NA,797000000,13917000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13917000000,-3203000000,NA,NA,NA,NA,10714000000,NA,NA,NA,10714000000,NA,10714000000,NA,NA,10714000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2017,2017-06-30,2017-08-02,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/0000320193-18-000100-index.htm,FALSE,TRUE,0,45408000000,NA,NA,NA,-27920000000,NA,NA,NA,17488000000,NA,-6720000000,-3783000000,NA,NA,-2937000000,NA,NA,NA,10768000000,540000000,NA,NA,NA,NA,NA,NA,540000000,11308000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11308000000,-2591000000,NA,NA,NA,NA,8717000000,NA,NA,NA,8717000000,NA,8717000000,NA,NA,8717000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q2,2017,2017-03-31,2017-05-03,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019318000070/0000320193-18-000070-index.htm,FALSE,TRUE,0,52896000000,NA,NA,NA,-32305000000,NA,NA,NA,20591000000,NA,-6494000000,-3718000000,NA,NA,-2776000000,NA,NA,NA,14097000000,587000000,NA,NA,NA,NA,NA,NA,587000000,14684000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14684000000,-3655000000,NA,NA,NA,NA,11029000000,NA,NA,NA,11029000000,NA,11029000000,NA,NA,11029000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q1,2017,2016-12-31,2017-02-01,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019318000007/0000320193-18-000007-index.htm,FALSE,TRUE,0,78351000000,NA,NA,NA,-48175000000,NA,NA,NA,30176000000,NA,-6817000000,-3946000000,NA,NA,-2871000000,NA,NA,NA,23359000000,821000000,NA,NA,NA,NA,NA,NA,821000000,24180000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24180000000,-6289000000,NA,NA,NA,NA,17891000000,NA,NA,NA,17891000000,NA,17891000000,NA,NA,17891000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q4,2016,2016-09-30,2016-10-26,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019318000145/0000320193-18-000145-index.htm,FALSE,TRUE,0,46852000000,NA,NA,NA,-29039000000,NA,NA,NA,17813000000,NA,-6052000000,-3482000000,NA,NA,-2570000000,NA,NA,NA,11761000000,427000000,NA,NA,NA,NA,NA,NA,427000000,12188000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12188000000,-3174000000,NA,NA,NA,NA,9014000000,NA,NA,NA,9014000000,NA,9014000000,NA,NA,9014000000
GENERAL,APPLE INC,111052,AAPL,USD,US0378331005,Q3,2016,2016-06-30,2016-07-27,TRUE,https://www.sec.gov/Archives/edgar/data/320193/000032019317000009/0000320193-17-000009-index.htm,FALSE,TRUE,0,42358000000,NA,NA,NA,-26252000000,NA,NA,NA,16106000000,NA,-6001000000,-3441000000,NA,NA,-2560000000,NA,NA,NA,10105000000,364000000,NA,NA,NA,NA,NA,NA,364000000,10469000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10469000000,-2673000000,NA,NA,NA,NA,7796000000,NA,NA,NA,7796000000,NA,7796000000,NA,NA,7796000000
