"date","open","close","high","low","volume"
2020-07-27,192.35,194.62,194.74,191.77,30160900
2020-07-28,194.39,192.87,195.43,192.61,23251400
2020-07-29,193.33,194.82,195.38,192.86,19632600
2020-07-30,191.9,194.67,195.2,190.53,25079600
2020-07-31,195.15,195.73,195.81,190,51044000
2020-08-03,201.94,206.74,207.79,200.91,78983000
2020-08-04,204.47,203.63,205.05,200.79,49280100
2020-08-05,205.17,203.3,205.27,201.99,28806400
2020-08-06,202.73,206.56,206.57,201.97,32656800
2020-08-07,205.12,202.86,205.93,201.38,27820400
2020-08-10,202.09,198.82,202.29,197.01,36716500
2020-08-11,197.78,194.17,198.25,193.94,36446500
2020-08-12,196,199.72,200.76,195.48,28013100
2020-08-13,199.96,199.25,201.78,198.73,22588900
2020-08-14,199.31,199.44,200.1,198.12,17958900
2020-08-17,200.11,200.76,201.63,199.46,20184800
2020-08-18,201,201.92,202.75,199.74,21336200
2020-08-19,202.4,200.69,202.99,200.26,27627600
2020-08-20,200.54,205.36,205.76,199.93,26981500
2020-08-21,204.67,203.87,206.96,203.7,36249300
2020-08-24,205.56,204.51,206.26,203.3,25460100
2020-08-25,203.94,207.17,207.3,203.94,23043700
2020-08-26,208.52,211.65,212.55,208.02,39600800
2020-08-27,213.31,216.84,221.22,209.97,57602200
2020-08-28,218.38,219.07,220.73,216.84,26292900
2020-08-31,217.25,215.84,218.87,214.67,28774200
2020-09-01,215.82,217.51,217.68,214.79,25725500
2020-09-02,218.18,221.7,222.85,217.58,34080800
2020-09-03,219.42,207.96,219.46,205.72,58400300
2020-09-04,205.86,205.04,208.98,196.37,59664100
2020-09-08,197.63,193.95,201.01,193.51,52924300
2020-09-09,198.68,202.21,205.61,197.82,45679000
2020-09-10,204.23,196.55,205.51,195.34,35461500
2020-09-11,198.3,195.26,199.67,192.59,33620100
2020-09-14,195.46,196.58,200.21,195.26,30375800
2020-09-15,199.47,199.81,200.77,198.04,21823900
2020-09-16,201.57,196.24,201.6,195.85,26328100
2020-09-17,191.45,194.19,195.55,191.37,34011300
2020-09-18,194.09,191.78,194.9,187.82,55225300
2020-09-21,188.72,193.84,194,187.94,39839700
2020-09-22,196.25,198.51,199.16,193.4,33517100
2020-09-23,198.97,191.97,199.16,191.44,30803800
2020-09-24,191.26,194.46,196.74,190.64,31202500
2020-09-25,194.8,198.89,200.06,193.84,29437300
2020-09-28,201.82,200.44,203.44,199.12,32004900
2020-09-29,200.36,198.35,201.04,197.92,24221900
2020-09-30,198.8,201.29,202.87,197.67,33829100
2020-10-01,204.32,203.33,204.8,202.24,27158400
2020-10-02,199.06,197.33,201.92,196.71,33154800
2020-10-05,198.32,201.34,201.37,198.09,21331600
2020-10-06,199.85,197.06,201.15,196.02,28554300
2020-10-07,198.16,200.81,201.08,197.84,25681100
2020-10-08,201.47,201.53,202.12,199.37,19925800
2020-10-09,202.15,206.54,206.59,202.15,26458000
2020-10-12,209.39,211.89,214.24,207.49,40461400
2020-10-13,213.15,213.28,215.53,210.96,28950800
2020-10-14,213.42,211.37,214.59,209.71,23421700
2020-10-15,207.77,210.22,210.89,206.73,22733100
2020-10-16,210.69,210.22,212.74,209.9,26057900
2020-10-19,210.95,205.02,212.75,204.54,27625800
2020-10-20,206.53,205.43,208.03,203.93,22753500
2020-10-21,203.96,205.57,207.6,203.96,22724900
2020-10-22,204.74,205.66,206.78,202.6,22351500
2020-10-23,205.79,206.94,206.99,204,18879600
2020-10-26,204.66,201.05,207.04,199.16,37111600
2020-10-27,202.5,204.09,205.45,201.29,36700300
2020-10-28,198.75,193.97,199.87,193.42,51195600
2020-10-29,195.3,195.92,198.45,194.63,31432600
2020-10-30,194.76,193.77,195.51,191.04,36953700
2020-11-02,195.51,193.64,196.46,191.52,30842200
2020-11-03,195.13,197.56,199.18,194.39,27512000
2020-11-04,204.82,207.09,208.94,203.29,42311800
2020-11-05,212.5,213.7,214.49,211.65,36080100
2020-11-06,212.71,214.11,214.72,208.66,25231900
2020-11-09,214.8,209.01,218.32,208.52,44395000
2020-11-10,205.28,201.94,207.2,200.71,44045100
2020-11-11,203.26,207.25,208.67,203.08,29440800
2020-11-12,207.88,206.18,209.7,205.25,21593900
2020-11-13,207.06,207.21,208.08,204.96,18621100
2020-11-16,205.64,207.9,208.38,205.3,24953300
2020-11-17,206.82,205.25,208.33,204.88,24154100
2020-11-18,205.01,202.54,206.46,202.4,28372800
2020-11-19,202.83,203.83,204.41,201.44,24792700
2020-11-20,203.61,201.88,204.66,201.5,22843100
2020-11-23,202.41,201.61,203.7,199.74,25683500
2020-11-24,201.11,205.21,205.58,200.41,33979700
2020-11-25,206.41,205.22,206.58,203.86,21012900
2020-11-27,206.16,206.52,207.52,205.38,14512200
2020-11-30,205.44,205.41,206.07,202.31,33064800
2020-12-01,205.83,207.46,208.53,204.72,30904500
2020-12-02,206.19,206.66,206.75,204.19,23724500
2020-12-03,205.93,205.57,207.63,205.01,25120900
2020-12-04,205.55,205.69,206.67,204.55,24666000
2020-12-07,205.7,205.62,206.82,204.37,24620000
2020-12-08,205.31,207.27,208.17,204.28,23284100
2020-12-09,206.45,203.23,206.52,202.66,32440600
2020-12-10,203.2,202,204.46,201.85,26733300
2020-12-11,201.55,204.63,204.69,200.65,30979400
2020-12-14,204.48,205.53,207.46,204.27,28798400
2020-12-15,206.46,205.47,206.7,203.65,27000600
2020-12-16,206.06,210.41,211.2,206.03,35023300
2020-12-17,210.97,210.54,211.95,209.1,32515800
2020-12-18,209.75,209.75,210.8,207.28,63354900
2020-12-21,208.75,213.58,214.94,208.49,37181900
2020-12-22,213.68,214.88,216.5,212.87,22612200
2020-12-23,214.08,212.08,214.51,211.87,18699600
2020-12-24,212.46,213.74,214.56,212.25,10550600
2020-12-28,215.37,215.86,216.88,214,17933500
2020-12-29,217.15,215.08,217.99,214.53,17403200
2020-12-30,216.12,212.71,216.5,212.51,20272300
2020-12-31,212.73,213.42,213.98,210.79,20942100
2021-01-04,213.53,208.88,213.98,206.12,37130100
2021-01-05,208.47,209.08,209.68,206.97,23823000
2021-01-06,203.59,203.66,207.73,203.36,35930700
2021-01-07,205.38,209.46,210.47,205.06,27694500
2021-01-08,209.83,210.73,211.66,208.25,22956200
2021-01-11,209.63,208.69,210.05,207.96,23031300
2021-01-12,207.74,206.23,208.32,204.69,23249300
2021-01-13,205.36,207.59,207.99,205.27,20087100
2021-01-14,207.17,204.4,208.66,204.13,29480800
2021-01-15,204.88,204.05,205.83,203.45,31746500
2021-01-19,205.1,207.68,208.2,204.03,30480900
2021-01-20,208.89,215.26,216.65,208.5,37777300
2021-01-21,215.61,215.87,217.14,213.42,30709400
2021-01-22,217.89,216.81,220.76,216.66,30172700
2021-01-25,219.85,220.24,220.48,215.15,33152100
2021-01-26,222.48,222.93,224.71,220.77,49169600
2021-01-27,228.37,223.48,230.71,220.83,69870600
2021-01-28,226.08,229.26,232.82,225.58,49111200
2021-01-29,226.44,222.57,228.39,221.99,42503100
2021-02-01,225.55,229.95,232.69,223.03,33314200
